order_item_id,order_id,product_id,quantity,item_price
1,1,32,2,703.58
2,1,20,4,447.37
3,1,38,4,305.44
4,2,20,1,447.37
5,2,39,2,866.26
6,2,14,4,99.17
7,2,44,4,361.64
8,2,61,2,1086.98
9,3,71,4,541.09
10,3,29,3,788.25
11,3,42,4,1051.64
12,3,35,2,187.65
13,3,28,1,1052.26
14,3,37,4,461.04
15,4,51,2,920.17
16,5,73,2,534.54
17,5,61,1,1086.98
18,5,76,4,490.66
19,6,46,2,1144.43
20,7,65,4,942.62
21,7,11,1,115.83
22,7,13,1,877.03
23,7,51,2,920.17
24,7,66,1,117.72
25,7,26,4,987.05
26,8,61,4,1086.98
27,8,17,1,795.21
28,9,22,4,763.8
29,9,1,4,891.15
30,9,13,1,877.03
31,9,36,2,509.48
32,10,36,2,509.48
33,10,74,1,784.31
34,10,27,3,324.95
35,10,16,4,234.78
36,11,76,4,490.66
37,11,39,4,866.26
38,12,42,2,1051.64
39,12,36,2,509.48
40,13,38,2,305.44
41,13,45,1,451.83
42,13,52,4,572.96
43,13,27,2,324.95
44,14,75,3,1112.01
45,14,76,1,490.66
46,14,39,1,866.26
47,14,2,2,171.75
48,14,28,4,1052.26
49,14,51,4,920.17
50,15,38,1,305.44
51,15,73,4,534.54
52,15,59,2,268.16
53,15,12,2,1017.76
54,15,53,3,635.57
55,15,58,2,30.14
56,16,15,3,744.13
57,16,5,1,266.27
58,16,14,1,99.17
59,16,50,4,879.63
60,16,22,2,763.8
61,17,78,2,457.87
62,17,35,2,187.65
63,17,75,2,1112.01
64,17,5,3,266.27
65,17,11,3,115.83
66,18,61,4,1086.98
67,18,54,2,1115.05
68,19,36,3,509.48
69,19,69,1,486.13
70,19,13,1,877.03
71,19,37,1,461.04
72,19,6,4,242.61
73,19,73,4,534.54
74,20,28,1,1052.26
75,20,5,1,266.27
76,20,10,4,262.3
77,20,33,1,267.09
78,20,70,3,302.14
79,21,76,2,490.66
80,21,11,1,115.83
81,21,4,2,509.2
82,21,7,4,541.8
83,21,40,4,411.51
84,22,52,1,572.96
85,23,10,1,262.3
86,23,78,2,457.87
87,23,6,3,242.61
88,23,32,3,703.58
89,23,38,3,305.44
90,23,19,3,337.18
91,24,8,3,911.77
92,24,27,2,324.95
93,25,55,1,377.5
94,26,62,2,619.42
95,26,73,4,534.54
96,26,13,1,877.03
97,26,63,1,585.07
98,26,76,3,490.66
99,26,78,4,457.87
100,27,12,4,1017.76
101,28,27,2,324.95
102,29,13,4,877.03
103,29,75,1,1112.01
104,29,40,2,411.51
105,29,3,1,890.1
106,29,18,3,1027.1
107,29,39,1,866.26
108,30,17,4,795.21
109,31,39,4,866.26
110,31,41,4,194.0
111,31,18,3,1027.1
112,31,63,4,585.07
113,31,10,4,262.3
114,31,28,3,1052.26
115,32,25,1,392.52
116,32,78,1,457.87
117,32,10,4,262.3
118,32,31,3,299.72
119,33,15,2,744.13
120,33,49,2,74.22
121,33,16,2,234.78
122,33,74,1,784.31
123,33,37,3,461.04
124,34,7,1,541.8
125,34,10,3,262.3
126,34,31,2,299.72
127,35,7,4,541.8
128,35,53,2,635.57
129,35,77,4,1038.26
130,36,53,3,635.57
131,37,44,2,361.64
132,37,22,4,763.8
133,37,42,3,1051.64
134,38,1,2,891.15
135,39,47,3,392.37
136,39,37,3,461.04
137,39,63,4,585.07
138,39,9,4,510.02
139,39,60,3,759.17
140,39,75,2,1112.01
141,40,4,3,509.2
142,41,76,3,490.66
143,42,58,3,30.14
144,42,45,3,451.83
145,42,52,3,572.96
146,42,27,2,324.95
147,43,58,4,30.14
148,43,12,2,1017.76
149,44,52,3,572.96
150,44,18,4,1027.1
151,44,47,1,392.37
152,44,4,4,509.2
153,45,6,1,242.61
154,46,36,1,509.48
155,46,15,4,744.13
156,46,29,4,788.25
157,47,34,4,594.75
158,47,6,1,242.61
159,48,1,4,891.15
160,49,70,1,302.14
161,49,77,4,1038.26
162,49,8,2,911.77
163,49,35,2,187.65
164,50,61,4,1086.98
165,51,25,1,392.52
166,51,65,1,942.62
167,52,21,2,324.04
168,52,18,2,1027.1
169,52,30,2,553.33
170,53,72,3,337.86
171,53,20,1,447.37
172,54,36,2,509.48
173,54,61,3,1086.98
174,54,42,3,1051.64
175,54,20,1,447.37
176,54,68,1,69.73
177,55,12,3,1017.76
178,55,5,4,266.27
179,55,71,1,541.09
180,56,48,1,1115.27
181,56,14,2,99.17
182,57,4,3,509.2
183,57,41,4,194.0
184,57,25,2,392.52
185,58,68,2,69.73
186,58,76,1,490.66
187,59,38,1,305.44
188,59,16,4,234.78
189,59,47,2,392.37
190,59,63,1,585.07
191,60,70,1,302.14
192,60,3,1,890.1
193,61,14,3,99.17
194,61,80,2,510.49
195,61,37,3,461.04
196,62,79,3,1112.19
197,63,66,3,117.72
198,63,13,3,877.03
199,64,72,2,337.86
200,64,53,1,635.57
201,64,59,2,268.16
202,64,37,1,461.04
203,65,66,3,117.72
204,65,72,4,337.86
205,65,29,1,788.25
206,65,3,2,890.1
207,65,50,4,879.63
208,65,78,1,457.87
209,66,19,4,337.18
210,66,13,1,877.03
211,66,29,3,788.25
212,66,57,3,301.25
213,66,33,3,267.09
214,66,31,3,299.72
215,67,48,1,1115.27
216,67,76,3,490.66
217,67,74,2,784.31
218,67,40,1,411.51
219,68,78,3,457.87
220,68,56,3,1080.04
221,68,73,2,534.54
222,68,7,4,541.8
223,69,49,1,74.22
224,70,7,2,541.8
225,70,50,4,879.63
226,70,43,3,915.54
227,70,54,3,1115.05
228,70,59,4,268.16
229,70,31,1,299.72
230,71,52,3,572.96
231,72,57,1,301.25
232,72,54,2,1115.05
233,73,72,1,337.86
234,73,9,2,510.02
235,73,39,3,866.26
236,73,76,2,490.66
237,74,3,2,890.1
238,74,66,4,117.72
239,74,36,3,509.48
240,74,25,3,392.52
241,74,62,3,619.42
242,74,52,4,572.96
243,75,24,3,827.35
244,75,42,2,1051.64
245,75,2,2,171.75
246,75,69,2,486.13
247,76,23,1,557.4
248,76,28,1,1052.26
249,76,39,3,866.26
250,77,59,2,268.16
251,78,15,2,744.13
252,78,43,4,915.54
253,78,44,1,361.64
254,79,69,4,486.13
255,79,44,3,361.64
256,79,41,1,194.0
257,80,23,1,557.4
258,80,64,2,1122.94
259,80,73,3,534.54
260,80,49,2,74.22
261,81,58,2,30.14
262,81,8,2,911.77
263,81,31,2,299.72
264,82,44,2,361.64
265,82,77,1,1038.26
266,82,38,3,305.44
267,82,46,2,1144.43
268,82,24,4,827.35
269,83,6,1,242.61
270,83,36,2,509.48
271,84,56,1,1080.04
272,84,51,4,920.17
273,84,24,2,827.35
274,84,80,1,510.49
275,84,77,4,1038.26
276,85,21,2,324.04
277,85,77,1,1038.26
278,85,18,3,1027.1
279,86,53,4,635.57
280,87,23,2,557.4
281,87,16,4,234.78
282,87,46,4,1144.43
283,87,31,2,299.72
284,87,76,4,490.66
285,88,51,2,920.17
286,89,46,2,1144.43
287,89,5,1,266.27
288,90,76,1,490.66
289,90,21,3,324.04
290,91,46,4,1144.43
291,91,1,1,891.15
292,91,24,1,827.35
293,91,20,1,447.37
294,91,6,2,242.61
295,92,32,1,703.58
296,92,28,1,1052.26
297,92,48,1,1115.27
298,92,29,1,788.25
