order_id,customer_id,order_date,total_amount
1,1139,2025-02-05,1659.75
2,997,2025-05-24,399.67
3,608,2025-04-05,555.99
4,120,2025-12-22,1454.26
5,1111,2025-06-14,166.48
6,643,2025-12-21,157.06
7,1197,2024-10-21,1199.82
8,1088,2024-10-22,406.22
9,1041,2025-04-17,214.08
10,381,2026-02-05,185.28
11,140,2025-08-19,1692.9
12,482,2025-04-01,1018.38
13,1167,2025-06-01,626.85
14,82,2025-03-16,1554.16
15,859,2026-01-06,1648.57
16,1158,2025-07-20,1314.12
17,535,2025-05-24,522.58
18,644,2025-12-17,608.13
19,811,2024-05-13,340.23
20,615,2025-01-09,1151.2
21,149,2024-08-12,38.15
22,1154,2026-03-09,2490.3
23,151,2026-02-11,1351.02
24,1037,2025-12-17,674.02
25,715,2024-04-19,2203.95
26,501,2024-10-07,933.27
27,324,2024-04-28,1103.89
28,1113,2025-12-22,1763.3
29,1084,2025-01-04,34.44
30,1136,2026-02-17,758.96
31,213,2025-12-03,2348.24
32,276,2024-04-05,672.2
33,220,2024-05-26,1859.91
34,319,2025-07-03,691.79
35,432,2026-02-03,1798.27
36,417,2026-02-07,1723.43
37,541,2025-02-24,1270.94
38,515,2024-08-29,2264.76
39,105,2025-02-20,244.36
40,868,2025-08-31,2075.93
41,91,2026-01-13,23.81
42,268,2025-05-07,1598.23
43,537,2024-05-15,416.53
44,905,2024-04-21,1385.93
45,876,2026-02-25,1408.85
46,230,2025-09-10,201.98
47,306,2025-04-22,1370.79
48,757,2025-11-05,1462.54
49,304,2025-02-12,1083.02
50,86,2024-11-10,781.02
51,82,2024-11-08,2248.83
52,431,2026-03-17,1709.94
53,211,2025-02-24,893.89
54,1147,2025-03-18,2212.07
55,833,2025-05-13,2434.99
56,317,2025-01-22,2315.52
57,485,2024-07-28,2163.55
58,363,2025-06-18,2205.32
59,51,2025-05-20,460.71
60,681,2024-07-27,1959.23
61,844,2024-05-31,2008.55
62,509,2025-11-13,678.01
63,222,2026-03-04,965.62
64,80,2025-12-16,2148.6
65,456,2026-02-27,510.94
66,943,2024-07-24,883.9
67,467,2025-03-17,568.97
68,396,2025-04-06,1005.19
69,571,2024-04-29,2162.92
70,572,2025-01-04,887.6
71,1044,2025-12-18,1008.2
72,1099,2024-07-08,837.91
73,57,2025-03-05,301.62
74,535,2024-12-15,458.74
75,544,2025-02-05,110.07
76,890,2025-06-07,874.03
77,643,2024-05-02,1099.44
78,1048,2024-06-12,302.38
79,1181,2025-02-12,487.35
80,91,2025-06-16,1776.33
81,4,2024-06-02,1307.0
82,1103,2024-05-19,1721.84
83,404,2025-10-26,920.09
84,144,2024-07-24,2372.95
